participant_id,age,waffle_fry,french_fry,curly_fry,shoestring_fry,steak_fry,crinkle_cut_fry,sweet_potato_fry,double_fried_fry,wedge_fry
1,29,7,8,6,,,,,,
2,30,6,10,6.5,,,,,,
3,26,9,8,10,,,,,,
4,27,8,7,9,,,,,,
5,27,5,7,5.75,,,,,,
6,32,9.5,9,9.25,10,7,5.25,0,,
7,27,8,6.5,8,,,,,,
8,30,7,8,,,,,,,
9,34,3,6,1.5,,,,,,
10,25,7.1,6.9,5.7,,,,,,
11,26,5,7.5,3,3,,,7.5,,
12,32,7.5,7,6.25,,,,,,
13,29,7.5,6.5,5.5,,,,,9,
14,30,8,6.5,5,,,,,,
15,30,8.5,7,8,,,,,,
16,32,7,9.5,7.5,6,3,,,,2
17,29,6,5.75,7,,,,2,,
18,28,7,6,5.5,,,,,,2
19,30,6.75,5.5,6.75,,,,,,
20,28,8,3,,,,,,,
21,26,8,9,7,,,,,,
22,27,5,6,8,10,,,,,
23,39,5,7,3,,,,,,
24,30,9,7,9,7,2,2,1,9,2
25,29,5.5,10,8,,,,,,
26,26,7,5,9,,,,,,
27,27,8,9,10,,,,,,
28,30,3.5,7.5,7.5,,,,,,
29,29,7,8,5,,,,,,
30,29,6,7,8,,,,,,
31,31,7.5,6.5,6,,,,,,